city_id,description
2092098e-dae8-4b19-9899-8c83325352d8,Accessory dwelling unit
2092098e-dae8-4b19-9899-8c83325352d8,Home occupations
2092098e-dae8-4b19-9899-8c83325352d8,Residential accessory uses and structures
2092098e-dae8-4b19-9899-8c83325352d8,"Residential care, limited"
2092098e-dae8-4b19-9899-8c83325352d8,Single-family housing
2092098e-dae8-4b19-9899-8c83325352d8,Cultural institutions
2092098e-dae8-4b19-9899-8c83325352d8,Park and recreation facilities
2092098e-dae8-4b19-9899-8c83325352d8,Religious facilities
2092098e-dae8-4b19-9899-8c83325352d8,Religious facilities with columbarium
2092098e-dae8-4b19-9899-8c83325352d8,Religious facilities with temporary homeless shelter
2092098e-dae8-4b19-9899-8c83325352d8,Street fairs
2092098e-dae8-4b19-9899-8c83325352d8,Tents
2092098e-dae8-4b19-9899-8c83325352d8,Retail Sales: Personal property sales
2092098e-dae8-4b19-9899-8c83325352d8,Retail Sales: Temporary uses
2092098e-dae8-4b19-9899-8c83325352d8,"Adult day care, general"
2092098e-dae8-4b19-9899-8c83325352d8,"Adult day care, limited"
2092098e-dae8-4b19-9899-8c83325352d8,"Filming, long-term"
2092098e-dae8-4b19-9899-8c83325352d8,Child day-care centers
2092098e-dae8-4b19-9899-8c83325352d8,"Child day care, large, 9 to 14 persons"
2092098e-dae8-4b19-9899-8c83325352d8,"Child day care, small, 1 to 8 persons"
2092098e-dae8-4b19-9899-8c83325352d8,"Filming, short-term"
2092098e-dae8-4b19-9899-8c83325352d8,Neighborhood garden
2092098e-dae8-4b19-9899-8c83325352d8,Public safety facilities
2092098e-dae8-4b19-9899-8c83325352d8,Commercial growing area
2092098e-dae8-4b19-9899-8c83325352d8,"Utility, major"
2092098e-dae8-4b19-9899-8c83325352d8,"Utility, minor"
2092098e-dae8-4b19-9899-8c83325352d8,Multi-family housing
2092098e-dae8-4b19-9899-8c83325352d8,Transitional housing
2092098e-dae8-4b19-9899-8c83325352d8,Schools - Public and private
2092098e-dae8-4b19-9899-8c83325352d8,"Residential care, general"
2092098e-dae8-4b19-9899-8c83325352d8,Offices - Administrative business professional
2092098e-dae8-4b19-9899-8c83325352d8,Lodging - Bed and breakfast inns
2092098e-dae8-4b19-9899-8c83325352d8,Boarding houses
2092098e-dae8-4b19-9899-8c83325352d8,Dormitories
2092098e-dae8-4b19-9899-8c83325352d8,"Fraternities, sororities"
2092098e-dae8-4b19-9899-8c83325352d8,Medical services - Extended care
2092098e-dae8-4b19-9899-8c83325352d8,"Clubs, lodges, private meeting halls"
2092098e-dae8-4b19-9899-8c83325352d8,Caretakers quarters
2092098e-dae8-4b19-9899-8c83325352d8,Mixed-use projects
2092098e-dae8-4b19-9899-8c83325352d8,"Residential care facilities, general"
2092098e-dae8-4b19-9899-8c83325352d8,"Residential care facilities, limited"
2092098e-dae8-4b19-9899-8c83325352d8,Supportive housing
2092098e-dae8-4b19-9899-8c83325352d8,Colleges - Nontraditional campus setting
2092098e-dae8-4b19-9899-8c83325352d8,Colleges - Traditional campus setting
2092098e-dae8-4b19-9899-8c83325352d8,Automated teller machines (ATM)
2092098e-dae8-4b19-9899-8c83325352d8,Banks and financial services
2092098e-dae8-4b19-9899-8c83325352d8,Banks and financial services with walk-up services
2092098e-dae8-4b19-9899-8c83325352d8,Offices - Accessory
2092098e-dae8-4b19-9899-8c83325352d8,Offices - Governmental
2092098e-dae8-4b19-9899-8c83325352d8,Offices - Medical
2092098e-dae8-4b19-9899-8c83325352d8,Research and development - Offices
