city_id,zone_symbol,description
2092098e-dae8-4b19-9899-8c83325352d8,RS-1,Single-Family Residential (Low-Density Residential)
2092098e-dae8-4b19-9899-8c83325352d8,RS-2,Single-Family Residential (Low-Density Residential)
2092098e-dae8-4b19-9899-8c83325352d8,RS-3,Single-Family Residential (Low-Density Residential)
2092098e-dae8-4b19-9899-8c83325352d8,RS-4,Single-Family Residential (Low-Density Residential)
2092098e-dae8-4b19-9899-8c83325352d8,RS-5,Single-Family Residential (Low-Density Residential)
2092098e-dae8-4b19-9899-8c83325352d8,RS-6,Single-Family Residential (Low-Density Residential)
2092098e-dae8-4b19-9899-8c83325352d8,RM-12,Multi-Family Residential - Two Units Per Lot (Low-Medium Density Residential)
2092098e-dae8-4b19-9899-8c83325352d8,RM-16,Multi-Family Residential - City of Gardens (Medium Density Residential)
2092098e-dae8-4b19-9899-8c83325352d8,RM-32,Multi-Family Residential - City of Gardens (Medium-High Density Residential)
2092098e-dae8-4b19-9899-8c83325352d8,RM-48,Multi-Family Residential - City of Gardens (High Density Residential)
2092098e-dae8-4b19-9899-8c83325352d8,CO,Commercial Office (General Commercial)
2092098e-dae8-4b19-9899-8c83325352d8,CL,Limited Commercial (Neighborhood Commercial)
2092098e-dae8-4b19-9899-8c83325352d8,CL-2,Limited Commercial (Neighborhood Commercial)
2092098e-dae8-4b19-9899-8c83325352d8,CG,General Commercial (General Commercial)
2092098e-dae8-4b19-9899-8c83325352d8,IG,General Industrial (Industrial)
2092098e-dae8-4b19-9899-8c83325352d8,OS,Open Space (Open Space)
2092098e-dae8-4b19-9899-8c83325352d8,PS,Public and Semi-Public (Institutional)
2092098e-dae8-4b19-9899-8c83325352d8,PS-1,Public and Semi-Public (Institutional)
2092098e-dae8-4b19-9899-8c83325352d8,PD,Planned Development (All)
2092098e-dae8-4b19-9899-8c83325352d8,AD,Alcohol Density (Commercial)
2092098e-dae8-4b19-9899-8c83325352d8,HD,Hillside Development (Residential)
2092098e-dae8-4b19-9899-8c83325352d8,HD-1,Hillside Development (Upper Hastings Ranch Area)
2092098e-dae8-4b19-9899-8c83325352d8,HD-SR,Hillside Development (San Rafael Area)
2092098e-dae8-4b19-9899-8c83325352d8,HL,Height Limit (All)
2092098e-dae8-4b19-9899-8c83325352d8,HL-1,Height Limit (Multi-family Residential)
2092098e-dae8-4b19-9899-8c83325352d8,HH,Hospitality Home (Residential)
2092098e-dae8-4b19-9899-8c83325352d8,IS,Interim Study (All)
2092098e-dae8-4b19-9899-8c83325352d8,LD,Landmark (All)
2092098e-dae8-4b19-9899-8c83325352d8,ND,Neighborhood (Low Density Residential)
2092098e-dae8-4b19-9899-8c83325352d8,OC,Office Conversion (Multi-family Residential)
2092098e-dae8-4b19-9899-8c83325352d8,PK,Parking (Residential)
2092098e-dae8-4b19-9899-8c83325352d8,WAH,Workforce/Affordable Housing (Multi-family Residential)
2092098e-dae8-4b19-9899-8c83325352d8,SS,Specialty Shop Overlay District (Residential)
